epoch,train_loss,val_loss
0,1.6119205355644226,5.233771324157715
1,1.1456845700740814,1.61776864528656
2,0.9463516573111216,1.1378875374794006
3,0.8292493472496668,1.2891588807106018
4,0.7342785547176996,1.2478899359703064
5,0.6641749491294225,0.8689180910587311
6,0.6224709848562876,0.779714971780777
7,0.5979378322760264,0.6085282564163208
8,0.5591152956088384,0.6541710942983627
9,0.5657379825909933,0.5388288646936417
10,0.5380192548036575,0.5870327353477478
11,0.5097444901863734,0.5404849201440811
12,0.48513877391815186,0.7975782603025436
13,0.4683692653973897,0.584770604968071
14,0.46029094854990643,0.5072645246982574
15,0.43429403255383175,0.5032002553343773
16,0.4207340255379677,0.47569476068019867
17,0.41140056649843854,0.5393071323633194
18,0.41168761998414993,0.49615032970905304
19,0.4122748176256816,0.4707217812538147
20,0.4120427668094635,0.4253598004579544
21,0.39141493290662766,0.4999789521098137
22,0.3995749031503995,0.4971773624420166
23,0.37702710429827374,0.4268895611166954
24,0.36378395309050876,0.41064591705799103
25,0.3560320883989334,0.5681450515985489
26,0.34315747519334155,0.36741499602794647
27,0.3329232955972354,0.42181456834077835
28,0.3445173054933548,0.46111924201250076
29,0.3312430630127589,0.4092049077153206
30,0.3230892966190974,0.5161722898483276
31,0.31264031181732815,0.422666035592556
32,0.3042849649985631,0.37500881403684616
33,0.2956217974424362,0.32482941448688507
34,0.29973984758059186,0.4001266807317734
35,0.30575942248106003,0.40872278064489365
36,0.2962908868988355,0.41183163970708847
37,0.28431787093480426,0.321701355278492
38,0.27933432906866074,0.3899885192513466
39,0.28946397205193836,0.5041499808430672
40,0.282874474922816,0.4336034059524536
41,0.26986145103971165,0.40230561047792435
42,0.26198601474364597,0.3417345955967903
43,0.2541201300919056,0.3419543355703354
44,0.2574685104191303,0.4713083431124687
45,0.23577735697229704,0.301492840051651
46,0.22786039859056473,0.30640408396720886
47,0.2191491462290287,0.3045477047562599
48,0.21632189551989237,0.29592423141002655
49,0.21511340389649072,0.297722727060318
50,0.2128698726495107,0.3009706288576126
51,0.21374698976675668,0.3170243352651596
52,0.21183230355381966,0.32251977175474167
53,0.20911281804243723,0.3145621791481972
54,0.21144659320513406,0.3293531909584999
55,0.2079558956126372,0.2985209450125694
56,0.2066722239057223,0.30903360247612
57,0.2060869832833608,0.32804036885499954
58,0.204266386727492,0.31159699708223343
59,0.20824201653401056,0.3189465180039406
